,Station,Easting,Northing,Zone,Grid_code,Habitat,Elevation,Slope,Aspect,Aspect_Cat2,Aspect_Cat8,Ruggedness,PopDen,RoadDen,DistPop,DistRoad
83,TDA10,540586,4580854,36,24,CF,1298,0.718608411548518,104.900192809747,S,E,4,18.0038452148438,0.153821974992752,25509.8046875,7211.1025390625
84,TDA11,541605,4584287,36,23,BL,1084,3.52313702318146,59.3708689934568,N,NE,6,17.8939418792725,0.16418731212616,23764.470703125,5656.8544921875
85,TDA12,537369,4587331,36,23,BL,1257,3.96517614877604,347.715685937188,N,N,5,18.0299510955811,0.135456770658493,26091.1875,2828.42724609375
86,TDA13,540564,4586433,36,23,BL,1257,3.78585159974877,39.7512819433143,N,NE,5,18.0299510955811,0.135456770658493,26091.1875,2828.42724609375
87,TEL01,616657,4598767,36,25,MF,1290,0.55661024841317,333.406722097703,N,NW,5,12.3559064865112,0.084691263735294,13738.6416015625,8944.271484375
88,TEL02,616344,4596183,36,24,CF,1234,1.33930476511822,206.846388478108,S,SW,5,11.9281711578369,0.085308462381363,13518.5185546875,10770.330078125
89,TEL03,617655,4595368,36,24,CF,1181,3.15622206423588,196.57290399663,S,S,4,10.309907913208,0.086263455450535,15580.4443359375,11661.9033203125
90,TEL04,618606,4596604,36,29,O,1328,2.3610635362854,230.79642199073,S,SW,5,10.2594289779663,0.0860795378685,15516.12890625,11661.9033203125
91,TEL05,617884,4597356,36,24,CF,1328,2.3610635362854,230.79642199073,S,SW,5,10.9792718887329,0.0860795378685,15516.12890625,10000
92,TEL06,619246,4599087,36,24,CF,1296,3.02507090108892,11.0706529191615,N,N,3,11.8516807556152,0.08611411601305,17684.744140625,10770.330078125
93,TEL07,619872,4600917,36,25,MF,1160,4.19310407728196,29.6363348598509,N,NE,4,12.5531129837036,0.083949707448483,18076.23046875,8944.271484375
94,TEL08,618025,4600168,36,24,CF,1319,2.06068447998736,341.776769176417,N,N,4,12.3559064865112,0.085304394364357,15708.28515625,8246.2109375
95,TEL09,619856,4597627,36,29,O,1463,1.84801534931035,157.490257389217,S,SE,4,10.2594289779663,0.087605625391007,17514.28515625,10770.330078125
96,TEL10,620983,4599084,36,24,CF,1286,1.87853430547489,13.1386711639193,N,N,2,11.4612092971802,0.085947215557098,19665.96484375,11661.9033203125
97,TEL11,622163,4600958,36,24,CF,1092,4.93341353699118,348.322652345378,N,N,4,12.0835437774658,0.083554089069367,20018.744140625,10000
98,TEL12,621658,4601809,36,25,MF,1092,4.93341353699118,348.322652345378,N,N,4,12.2605075836182,0.083554089069367,20018.744140625,8000
99,TEL13,622239,4598692,36,29,O,1286,1.87853430547489,13.1386711639193,N,N,2,11.2019824981689,0.085947215557098,19665.96484375,11661.9033203125
100,TIL01,568896,4555050,36,24,CF,1764,4.93330510543522,329.046717619546,N,NW,5,14.9963073730469,0.150268763303757,23510.63671875,4000
