"","y","site","area","year","month","pocc","socc","ndays","season","aspect","habitat","elevation","slope","rugg","popden","roadden","distpop","distroad"
"853",0,169,10,2008,5,2,5,34,0,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"854",0,170,10,2008,5,2,5,33,0,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"855",0,171,10,2008,5,2,5,33,0,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"1013",0,158,10,2008,6,2,6,34,0,1,4,-1.01575936954179,-1.12030754785646,4,1.04620652752336,-0.711771890404088,0.322447662710167,-0.43560865939234
"1014",1,159,10,2008,6,2,6,33,0,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"1016",0,161,10,2008,6,2,6,34,0,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"1017",1,162,10,2008,6,2,6,34,0,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"1019",0,164,10,2008,6,2,6,33,0,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"1021",0,166,10,2008,6,2,6,33,0,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"1022",0,167,10,2008,6,2,6,34,0,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"1023",1,168,10,2008,6,2,6,34,0,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
